activeDuration,activityLevel,activityName,activityTypeId,averageHeartRate,calories,caloriesLink,duration,elevationGain,heartRateLink,heartRateZones,lastModified,logId,logType,manualValuesSpecified,originalDuration,originalStartTime,source,startTime,steps,tcxLink
2500000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 0, 'name': 'fairly'}, {'minutes': 41, 'name': 'very'}]",Workout,3000,136,476,https://api.fitbit.com/1/user/-/activities/calories/date/2017-04-05/2017-04-05/1min/time/6:43/7:24.json,2500000,512.998688,https://api.fitbit.com/1/user/-/activities/heart/date/2017-04-05/2017-04-05/1sec/time/06:43:13/07:24:53.json,"[{'max': 99, 'min': 30, 'minutes': 0, 'name': 'Out of Range'}, {'max': 138, 'min': 99, 'minutes': 21, 'name': 'Fat Burn'}, {'max': 168, 'min': 138, 'minutes': 20, 'name': 'Cardio'}, {'max': 220, 'min': 168, 'minutes': 0, 'name': 'Peak'}]",2017-04-05T11:32:17.000Z,6954238597,tracker,"{'calories': False, 'distance': False, 'steps': False}",2500000,2017-04-05T06:43:13.000-04:00,"{'id': '77441808', 'name': 'Charge 2', 'type': 'tracker', 'url': 'https://www.fitbit.com/'}",2017-04-05T06:43:13.000-04:00,3937,https://api.fitbit.com/1/user/-/activities/6954238597.tcx
921000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 1, 'name': 'fairly'}, {'minutes': 14, 'name': 'very'}]",Walk,90013,120,146,https://api.fitbit.com/1/user/-/activities/calories/date/2017-04-05/2017-04-05/1min/time/7:35/7:50.json,921000,20.0,https://api.fitbit.com/1/user/-/activities/heart/date/2017-04-05/2017-04-05/1sec/time/07:35:15/07:50:36.json,"[{'max': 99, 'min': 30, 'minutes': 0, 'name': 'Out of Range'}, {'max': 138, 'min': 99, 'minutes': 13, 'name': 'Fat Burn'}, {'max': 168, 'min': 138, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 168, 'minutes': 0, 'name': 'Peak'}]",2017-04-05T12:09:22.000Z,6962395597,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",921000,2017-04-05T07:35:15.000-04:00,,2017-04-05T07:35:15.000-04:00,1451,https://api.fitbit.com/1/user/-/activities/6962395597.tcx
1076000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 1, 'name': 'lightly'}, {'minutes': 1, 'name': 'fairly'}, {'minutes': 16, 'name': 'very'}]",Walk,90013,114,164,https://api.fitbit.com/1/user/-/activities/calories/date/2017-04-05/2017-04-05/1min/time/9:05/9:23.json,1076000,10.0,https://api.fitbit.com/1/user/-/activities/heart/date/2017-04-05/2017-04-05/1sec/time/09:05:42/09:23:38.json,"[{'max': 99, 'min': 30, 'minutes': 1, 'name': 'Out of Range'}, {'max': 138, 'min': 99, 'minutes': 17, 'name': 'Fat Burn'}, {'max': 168, 'min': 138, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 168, 'minutes': 0, 'name': 'Peak'}]",2017-04-05T13:29:35.000Z,6963328452,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1076000,2017-04-05T09:05:42.000-04:00,,2017-04-05T09:05:42.000-04:00,1868,https://api.fitbit.com/1/user/-/activities/6963328452.tcx
922000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 5, 'name': 'fairly'}, {'minutes': 11, 'name': 'very'}]",Walk,90013,110,137,https://api.fitbit.com/1/user/-/activities/calories/date/2017-04-05/2017-04-05/1min/time/14:01/14:17.json,922000,10.0,https://api.fitbit.com/1/user/-/activities/heart/date/2017-04-05/2017-04-05/1sec/time/14:01:49/14:17:11.json,"[{'max': 99, 'min': 30, 'minutes': 1, 'name': 'Out of Range'}, {'max': 138, 'min': 99, 'minutes': 14, 'name': 'Fat Burn'}, {'max': 168, 'min': 138, 'minutes': 1, 'name': 'Cardio'}, {'max': 220, 'min': 168, 'minutes': 0, 'name': 'Peak'}]",2017-04-05T18:40:14.000Z,6970004632,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",922000,2017-04-05T14:01:49.000-04:00,,2017-04-05T14:01:49.000-04:00,1376,https://api.fitbit.com/1/user/-/activities/6970004632.tcx
972000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 0, 'name': 'fairly'}, {'minutes': 16, 'name': 'very'}]",Walk,90013,123,163,https://api.fitbit.com/1/user/-/activities/calories/date/2017-04-05/2017-04-05/1min/time/15:30/15:46.json,972000,30.0,https://api.fitbit.com/1/user/-/activities/heart/date/2017-04-05/2017-04-05/1sec/time/15:30:34/15:46:46.json,"[{'max': 99, 'min': 30, 'minutes': 0, 'name': 'Out of Range'}, {'max': 138, 'min': 99, 'minutes': 14, 'name': 'Fat Burn'}, {'max': 168, 'min': 138, 'minutes': 2, 'name': 'Cardio'}, {'max': 220, 'min': 168, 'minutes': 0, 'name': 'Peak'}]",2017-04-05T19:49:39.000Z,6971750933,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",972000,2017-04-05T15:30:34.000-04:00,,2017-04-05T15:30:34.000-04:00,1669,https://api.fitbit.com/1/user/-/activities/6971750933.tcx
1075000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 0, 'name': 'fairly'}, {'minutes': 18, 'name': 'very'}]",Walk,90013,109,160,https://api.fitbit.com/1/user/-/activities/calories/date/2017-04-05/2017-04-05/1min/time/16:22/16:40.json,1075000,40.0,https://api.fitbit.com/1/user/-/activities/heart/date/2017-04-05/2017-04-05/1sec/time/16:22:37/16:40:32.json,"[{'max': 99, 'min': 30, 'minutes': 0, 'name': 'Out of Range'}, {'max': 138, 'min': 99, 'minutes': 18, 'name': 'Fat Burn'}, {'max': 168, 'min': 138, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 168, 'minutes': 0, 'name': 'Peak'}]",2017-04-05T20:50:08.000Z,6972415492,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1075000,2017-04-05T16:22:37.000-04:00,,2017-04-05T16:22:37.000-04:00,1829,https://api.fitbit.com/1/user/-/activities/6972415492.tcx
922000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 1, 'name': 'lightly'}, {'minutes': 0, 'name': 'fairly'}, {'minutes': 14, 'name': 'very'}]",Walk,90013,112,137,https://api.fitbit.com/1/user/-/activities/calories/date/2017-04-06/2017-04-06/1min/time/13:07/13:22.json,922000,10.0,https://api.fitbit.com/1/user/-/activities/heart/date/2017-04-06/2017-04-06/1sec/time/13:07:37/13:22:59.json,"[{'max': 99, 'min': 30, 'minutes': 2, 'name': 'Out of Range'}, {'max': 138, 'min': 99, 'minutes': 13, 'name': 'Fat Burn'}, {'max': 168, 'min': 138, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 168, 'minutes': 0, 'name': 'Peak'}]",2017-04-06T17:31:32.000Z,6986660023,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",922000,2017-04-06T13:07:37.000-04:00,,2017-04-06T13:07:37.000-04:00,1609,https://api.fitbit.com/1/user/-/activities/6986660023.tcx
1587000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 2, 'name': 'lightly'}, {'minutes': 3, 'name': 'fairly'}, {'minutes': 21, 'name': 'very'}]",Walk,90013,100,218,https://api.fitbit.com/1/user/-/activities/calories/date/2017-04-06/2017-04-06/1min/time/20:07/20:33.json,1587000,50.0,https://api.fitbit.com/1/user/-/activities/heart/date/2017-04-06/2017-04-06/1sec/time/20:07:29/20:33:56.json,"[{'max': 99, 'min': 30, 'minutes': 13, 'name': 'Out of Range'}, {'max': 138, 'min': 99, 'minutes': 13, 'name': 'Fat Burn'}, {'max': 168, 'min': 138, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 168, 'minutes': 0, 'name': 'Peak'}]",2017-04-07T00:40:13.000Z,6994656134,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1587000,2017-04-06T20:07:29.000-04:00,,2017-04-06T20:07:29.000-04:00,2599,https://api.fitbit.com/1/user/-/activities/6994656134.tcx
1280000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 1, 'name': 'lightly'}, {'minutes': 2, 'name': 'fairly'}, {'minutes': 18, 'name': 'very'}]",Walk,90013,107,182,https://api.fitbit.com/1/user/-/activities/calories/date/2017-04-07/2017-04-07/1min/time/9:47/10:08.json,1280000,40.0,https://api.fitbit.com/1/user/-/activities/heart/date/2017-04-07/2017-04-07/1sec/time/09:47:32/10:08:52.json,"[{'max': 99, 'min': 30, 'minutes': 4, 'name': 'Out of Range'}, {'max': 138, 'min': 99, 'minutes': 17, 'name': 'Fat Burn'}, {'max': 168, 'min': 138, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 168, 'minutes': 0, 'name': 'Peak'}]",2017-04-07T14:28:01.000Z,7002437643,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1280000,2017-04-07T09:47:32.000-04:00,,2017-04-07T09:47:32.000-04:00,2003,https://api.fitbit.com/1/user/-/activities/7002437643.tcx
3851000,"[{'minutes': 1, 'name': 'sedentary'}, {'minutes': 5, 'name': 'lightly'}, {'minutes': 12, 'name': 'fairly'}, {'minutes': 46, 'name': 'very'}]",Workout,3000,124,581,https://api.fitbit.com/1/user/-/activities/calories/date/2017-04-07/2017-04-07/1min/time/10:32/11:36.json,3852000,88.999344,https://api.fitbit.com/1/user/-/activities/heart/date/2017-04-07/2017-04-07/1sec/time/10:32:02/11:36:14.json,"[{'max': 99, 'min': 30, 'minutes': 2, 'name': 'Out of Range'}, {'max': 138, 'min': 99, 'minutes': 48, 'name': 'Fat Burn'}, {'max': 168, 'min': 138, 'minutes': 14, 'name': 'Cardio'}, {'max': 220, 'min': 168, 'minutes': 0, 'name': 'Peak'}]",2017-04-07T15:57:36.000Z,6998003523,tracker,"{'calories': False, 'distance': False, 'steps': False}",3852000,2017-04-07T10:32:02.000-04:00,"{'id': '77441808', 'name': 'Charge 2', 'type': 'tracker', 'url': 'https://www.fitbit.com/'}",2017-04-07T10:32:02.000-04:00,2105,https://api.fitbit.com/1/user/-/activities/6998003523.tcx
