activeDuration,activityLevel,activityName,activityTypeId,averageHeartRate,calories,caloriesLink,distance,distanceUnit,duration,elevationGain,heartRateLink,heartRateZones,lastModified,logId,logType,manualValuesSpecified,originalDuration,originalStartTime,pace,source,speed,startTime,steps,tcxLink
923000,"[{'minutes': 1, 'name': 'sedentary'}, {'minutes': 1, 'name': 'lightly'}, {'minutes': 3, 'name': 'fairly'}, {'minutes': 10, 'name': 'very'}]",Walk,90013,110,119,https://api.fitbit.com/1/user/-/activities/calories/date/2018-03-03/2018-03-03/1min/time/11:44/11:59.json,,,923000,89.498032,https://api.fitbit.com/1/user/-/activities/heart/date/2018-03-03/2018-03-03/1sec/time/11:44:34/11:59:57.json,"[{'max': 98, 'min': 30, 'minutes': 3, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 11, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-03-03T17:08:22.000Z,12725758352,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",923000,2018-03-03,,,,2018-03-03T11:44:34.000-05:00,1258,https://api.fitbit.com/1/user/-/activities/12725758352.tcx
1690000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 5, 'name': 'lightly'}, {'minutes': 3, 'name': 'fairly'}, {'minutes': 20, 'name': 'very'}]",Walk,90013,110,225,https://api.fitbit.com/1/user/-/activities/calories/date/2018-03-03/2018-03-03/1min/time/13:50/14:18.json,,,1690000,130.0,https://api.fitbit.com/1/user/-/activities/heart/date/2018-03-03/2018-03-03/1sec/time/13:50:01/14:18:11.json,"[{'max': 98, 'min': 30, 'minutes': 2, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 26, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-03-03T19:27:43.000Z,12727550392,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1690000,2018-03-03,,,,2018-03-03T13:50:01.000-05:00,2585,https://api.fitbit.com/1/user/-/activities/12727550392.tcx
2202000,"[{'minutes': 3, 'name': 'sedentary'}, {'minutes': 5, 'name': 'lightly'}, {'minutes': 4, 'name': 'fairly'}, {'minutes': 24, 'name': 'very'}]",Walk,90013,116,338,https://api.fitbit.com/1/user/-/activities/calories/date/2018-03-04/2018-03-04/1min/time/12:54/13:31.json,,,2202000,90.0,https://api.fitbit.com/1/user/-/activities/heart/date/2018-03-04/2018-03-04/1sec/time/12:54:59/13:31:41.json,"[{'max': 98, 'min': 30, 'minutes': 13, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 11, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 3, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 7, 'name': 'Peak'}]",2018-03-04T18:39:18.000Z,12743109468,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",2202000,2018-03-04,,,,2018-03-04T12:54:59.000-05:00,2996,https://api.fitbit.com/1/user/-/activities/12743109468.tcx
1280000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 21, 'name': 'lightly'}, {'minutes': 0, 'name': 'fairly'}, {'minutes': 0, 'name': 'very'}]",Walk,90013,106,156,https://api.fitbit.com/1/user/-/activities/calories/date/2018-03-04/2018-03-04/1min/time/18:17/18:38.json,,,1280000,90.0,https://api.fitbit.com/1/user/-/activities/heart/date/2018-03-04/2018-03-04/1sec/time/18:17:33/18:38:53.json,"[{'max': 98, 'min': 30, 'minutes': 6, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 14, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-03-05T01:12:10.000Z,12747973936,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1280000,2018-03-04,,,,2018-03-04T18:17:33.000-05:00,1464,https://api.fitbit.com/1/user/-/activities/12747973936.tcx
1587000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 4, 'name': 'lightly'}, {'minutes': 5, 'name': 'fairly'}, {'minutes': 17, 'name': 'very'}]",Walk,90013,109,242,https://api.fitbit.com/1/user/-/activities/calories/date/2018-03-04/2018-03-04/1min/time/20:27/20:53.json,,,1587000,156.998032,https://api.fitbit.com/1/user/-/activities/heart/date/2018-03-04/2018-03-04/1sec/time/20:27:15/20:53:42.json,"[{'max': 98, 'min': 30, 'minutes': 6, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 13, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 1, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 3, 'name': 'Peak'}]",2018-03-05T01:58:16.000Z,12748453827,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1587000,2018-03-05,,,,2018-03-04T20:27:15.000-05:00,2441,https://api.fitbit.com/1/user/-/activities/12748453827.tcx
921000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 2, 'name': 'fairly'}, {'minutes': 13, 'name': 'very'}]",Walk,90013,106,126,https://api.fitbit.com/1/user/-/activities/calories/date/2018-03-06/2018-03-06/1min/time/8:06/8:21.json,,,921000,30.0,https://api.fitbit.com/1/user/-/activities/heart/date/2018-03-06/2018-03-06/1sec/time/08:06:15/08:21:36.json,"[{'max': 98, 'min': 30, 'minutes': 1, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 14, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-03-06T13:34:30.000Z,12775027575,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",921000,2018-03-06,,,,2018-03-06T08:06:15.000-05:00,1575,https://api.fitbit.com/1/user/-/activities/12775027575.tcx
4044000,"[{'minutes': 6, 'name': 'sedentary'}, {'minutes': 24, 'name': 'lightly'}, {'minutes': 11, 'name': 'fairly'}, {'minutes': 26, 'name': 'very'}]",Workout,3000,119,486,https://api.fitbit.com/1/user/-/activities/calories/date/2018-03-06/2018-03-06/1min/time/8:26/9:33.json,,,4044000,103.999344,https://api.fitbit.com/1/user/-/activities/heart/date/2018-03-06/2018-03-06/1sec/time/08:26:32/09:33:56.json,"[{'max': 98, 'min': 30, 'minutes': 2, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 55, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 10, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-03-06T14:35:07.000Z,12767712110,tracker,"{'calories': False, 'distance': False, 'steps': False}",4044000,2018-03-06,,"{'id': '80357337', 'name': 'Charge 2', 'type': 'tracker', 'url': 'https://www.fitbit.com/'}",,2018-03-06T08:26:32.000-05:00,2003,https://api.fitbit.com/1/user/-/activities/12767712110.tcx
1024000,"[{'minutes': 2, 'name': 'sedentary'}, {'minutes': 15, 'name': 'lightly'}, {'minutes': 0, 'name': 'fairly'}, {'minutes': 0, 'name': 'very'}]",Walk,90013,99,125,https://api.fitbit.com/1/user/-/activities/calories/date/2018-03-06/2018-03-06/1min/time/21:33/21:50.json,,,1024000,90.0,https://api.fitbit.com/1/user/-/activities/heart/date/2018-03-06/2018-03-06/1sec/time/21:33:30/21:50:34.json,"[{'max': 98, 'min': 30, 'minutes': 5, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 11, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-03-07T02:56:30.000Z,12788089824,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1024000,2018-03-07,,,,2018-03-06T21:33:30.000-05:00,1371,https://api.fitbit.com/1/user/-/activities/12788089824.tcx
1024000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 4, 'name': 'fairly'}, {'minutes': 13, 'name': 'very'}]",Walk,90013,108,141,https://api.fitbit.com/1/user/-/activities/calories/date/2018-03-07/2018-03-07/1min/time/8:00/8:17.json,,,1024000,50.0,https://api.fitbit.com/1/user/-/activities/heart/date/2018-03-07/2018-03-07/1sec/time/08:00:42/08:17:46.json,"[{'max': 98, 'min': 30, 'minutes': 2, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 15, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-03-07T13:29:49.000Z,12794218883,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1024000,2018-03-07,,,,2018-03-07T08:00:42.000-05:00,1643,https://api.fitbit.com/1/user/-/activities/12794218883.tcx
2952000,"[{'minutes': 12, 'name': 'sedentary'}, {'minutes': 10, 'name': 'lightly'}, {'minutes': 3, 'name': 'fairly'}, {'minutes': 24, 'name': 'very'}]",Workout,3000,120,336,https://api.fitbit.com/1/user/-/activities/calories/date/2018-03-07/2018-03-07/1min/time/8:30/9:19.json,,,2952000,52.001312,https://api.fitbit.com/1/user/-/activities/heart/date/2018-03-07/2018-03-07/1sec/time/08:30:18/09:19:30.json,"[{'max': 98, 'min': 30, 'minutes': 9, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 30, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 9, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 1, 'name': 'Peak'}]",2018-03-07T14:31:39.000Z,12781991486,tracker,"{'calories': False, 'distance': False, 'steps': False}",2952000,2018-03-07,,"{'id': '80357337', 'name': 'Charge 2', 'type': 'tracker', 'url': 'https://www.fitbit.com/'}",,2018-03-07T08:30:18.000-05:00,1007,https://api.fitbit.com/1/user/-/activities/12781991486.tcx
