activeDuration,activityLevel,activityName,activityTypeId,averageHeartRate,calories,caloriesLink,duration,elevationGain,heartRateLink,heartRateZones,lastModified,logId,logType,manualValuesSpecified,originalDuration,originalStartTime,source,startTime,steps,tcxLink
2562000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 0, 'name': 'fairly'}, {'minutes': 42, 'name': 'very'}]",Workout,3000,145.0,534,https://api.fitbit.com/1/user/-/activities/calories/date/2017-04-12/2017-04-12/1min/time/6:41/7:23.json,2562000,565.000001,https://api.fitbit.com/1/user/-/activities/heart/date/2017-04-12/2017-04-12/1sec/time/06:41:02/07:23:44.json,"[{'max': 99, 'min': 30, 'minutes': 0, 'name': 'Out of Range'}, {'max': 138, 'min': 99, 'minutes': 5, 'name': 'Fat Burn'}, {'max': 168, 'min': 138, 'minutes': 37, 'name': 'Cardio'}, {'max': 220, 'min': 168, 'minutes': 0, 'name': 'Peak'}]",2017-04-12T11:39:09.000Z,7086864402,tracker,"{'calories': False, 'distance': False, 'steps': False}",2562000,2017-04-12T06:41:02.000-04:00,"{'id': '77441808', 'name': 'Charge 2', 'type': 'tracker', 'url': 'https://www.fitbit.com/'}",2017-04-12T06:41:02.000-04:00,4633,https://api.fitbit.com/1/user/-/activities/7086864402.tcx
922000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 2, 'name': 'fairly'}, {'minutes': 13, 'name': 'very'}]",Walk,90013,111.0,135,https://api.fitbit.com/1/user/-/activities/calories/date/2017-04-12/2017-04-12/1min/time/7:34/7:49.json,922000,40.0,https://api.fitbit.com/1/user/-/activities/heart/date/2017-04-12/2017-04-12/1sec/time/07:34:03/07:49:25.json,"[{'max': 99, 'min': 30, 'minutes': 0, 'name': 'Out of Range'}, {'max': 138, 'min': 99, 'minutes': 12, 'name': 'Fat Burn'}, {'max': 168, 'min': 138, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 168, 'minutes': 0, 'name': 'Peak'}]",2017-04-12T12:26:47.000Z,7091423390,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",922000,2017-04-12T07:34:03.000-04:00,,2017-04-12T07:34:03.000-04:00,1479,https://api.fitbit.com/1/user/-/activities/7091423390.tcx
1126000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 2, 'name': 'lightly'}, {'minutes': 4, 'name': 'fairly'}, {'minutes': 13, 'name': 'very'}]",Walk,90013,99.0,152,https://api.fitbit.com/1/user/-/activities/calories/date/2017-04-12/2017-04-12/1min/time/14:01/14:20.json,1126000,0.0,https://api.fitbit.com/1/user/-/activities/heart/date/2017-04-12/2017-04-12/1sec/time/14:01:28/14:20:14.json,"[{'max': 99, 'min': 30, 'minutes': 9, 'name': 'Out of Range'}, {'max': 138, 'min': 99, 'minutes': 10, 'name': 'Fat Burn'}, {'max': 168, 'min': 138, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 168, 'minutes': 0, 'name': 'Peak'}]",2017-04-12T18:25:59.000Z,7098462422,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1126000,2017-04-12T14:01:28.000-04:00,,2017-04-12T14:01:28.000-04:00,1833,https://api.fitbit.com/1/user/-/activities/7098462422.tcx
1382000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 5, 'name': 'lightly'}, {'minutes': 12, 'name': 'fairly'}, {'minutes': 6, 'name': 'very'}]",Walk,90013,104.0,156,https://api.fitbit.com/1/user/-/activities/calories/date/2017-04-12/2017-04-12/1min/time/14:47/15:10.json,1382000,20.0,https://api.fitbit.com/1/user/-/activities/heart/date/2017-04-12/2017-04-12/1sec/time/14:47:33/15:10:35.json,"[{'max': 99, 'min': 30, 'minutes': 5, 'name': 'Out of Range'}, {'max': 138, 'min': 99, 'minutes': 15, 'name': 'Fat Burn'}, {'max': 168, 'min': 138, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 168, 'minutes': 0, 'name': 'Peak'}]",2017-04-12T20:07:15.000Z,7100689544,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1382000,2017-04-12T14:47:33.000-04:00,,2017-04-12T14:47:33.000-04:00,1406,https://api.fitbit.com/1/user/-/activities/7100689544.tcx
921000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 1, 'name': 'lightly'}, {'minutes': 1, 'name': 'fairly'}, {'minutes': 13, 'name': 'very'}]",Walk,90013,,136,https://api.fitbit.com/1/user/-/activities/calories/date/2017-04-13/2017-04-13/1min/time/18:48/19:03.json,921000,30.0,,,2017-04-13T23:15:23.000Z,7122974898,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",921000,2017-04-13T18:48:37.000-04:00,,2017-04-13T18:48:37.000-04:00,1514,
1126000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 2, 'name': 'fairly'}, {'minutes': 16, 'name': 'very'}]",Walk,90013,,170,https://api.fitbit.com/1/user/-/activities/calories/date/2017-04-13/2017-04-13/1min/time/21:42/22:01.json,1126000,10.0,,,2017-04-14T02:05:20.000Z,7125083885,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1126000,2017-04-13T21:42:43.000-04:00,,2017-04-13T21:42:43.000-04:00,1996,
2356000,"[{'minutes': 7, 'name': 'sedentary'}, {'minutes': 12, 'name': 'lightly'}, {'minutes': 5, 'name': 'fairly'}, {'minutes': 15, 'name': 'very'}]",Walk,90013,104.0,266,https://api.fitbit.com/1/user/-/activities/calories/date/2017-04-14/2017-04-14/1min/time/11:04/11:44.json,2356000,40.0,https://api.fitbit.com/1/user/-/activities/heart/date/2017-04-14/2017-04-14/1sec/time/11:04:50/11:44:06.json,"[{'max': 99, 'min': 30, 'minutes': 20, 'name': 'Out of Range'}, {'max': 138, 'min': 99, 'minutes': 20, 'name': 'Fat Burn'}, {'max': 168, 'min': 138, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 168, 'minutes': 0, 'name': 'Peak'}]",2017-04-14T16:11:23.000Z,7133168097,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",2356000,2017-04-14T11:04:50.000-04:00,,2017-04-14T11:04:50.000-04:00,2641,https://api.fitbit.com/1/user/-/activities/7133168097.tcx
4046000,"[{'minutes': 7, 'name': 'sedentary'}, {'minutes': 22, 'name': 'lightly'}, {'minutes': 14, 'name': 'fairly'}, {'minutes': 24, 'name': 'very'}]",Workout,3000,113.0,480,https://api.fitbit.com/1/user/-/activities/calories/date/2017-04-14/2017-04-14/1min/time/11:50/12:57.json,4046000,57.001312,https://api.fitbit.com/1/user/-/activities/heart/date/2017-04-14/2017-04-14/1sec/time/11:50:19/12:57:45.json,"[{'max': 99, 'min': 30, 'minutes': 9, 'name': 'Out of Range'}, {'max': 138, 'min': 99, 'minutes': 54, 'name': 'Fat Burn'}, {'max': 168, 'min': 138, 'minutes': 4, 'name': 'Cardio'}, {'max': 220, 'min': 168, 'minutes': 0, 'name': 'Peak'}]",2017-04-14T17:24:10.000Z,7127324330,tracker,"{'calories': False, 'distance': False, 'steps': False}",4046000,2017-04-14T11:50:19.000-04:00,"{'id': '77441808', 'name': 'Charge 2', 'type': 'tracker', 'url': 'https://www.fitbit.com/'}",2017-04-14T11:50:19.000-04:00,1377,https://api.fitbit.com/1/user/-/activities/7127324330.tcx
1280000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 5, 'name': 'lightly'}, {'minutes': 0, 'name': 'fairly'}, {'minutes': 16, 'name': 'very'}]",Walk,90013,99.0,161,https://api.fitbit.com/1/user/-/activities/calories/date/2017-04-14/2017-04-14/1min/time/22:13/22:34.json,1280000,10.0,https://api.fitbit.com/1/user/-/activities/heart/date/2017-04-14/2017-04-14/1sec/time/22:13:16/22:34:36.json,"[{'max': 99, 'min': 30, 'minutes': 9, 'name': 'Out of Range'}, {'max': 138, 'min': 99, 'minutes': 12, 'name': 'Fat Burn'}, {'max': 168, 'min': 138, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 168, 'minutes': 0, 'name': 'Peak'}]",2017-04-15T03:19:52.000Z,7142122507,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1280000,2017-04-14T22:13:16.000-04:00,,2017-04-14T22:13:16.000-04:00,1825,https://api.fitbit.com/1/user/-/activities/7142122507.tcx
2151000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 8, 'name': 'fairly'}, {'minutes': 27, 'name': 'very'}]",Walk,90013,103.0,287,https://api.fitbit.com/1/user/-/activities/calories/date/2017-04-16/2017-04-16/1min/time/12:56/13:31.json,2151000,100.0,https://api.fitbit.com/1/user/-/activities/heart/date/2017-04-16/2017-04-16/1sec/time/12:56:04/13:31:55.json,"[{'max': 99, 'min': 30, 'minutes': 7, 'name': 'Out of Range'}, {'max': 138, 'min': 99, 'minutes': 28, 'name': 'Fat Burn'}, {'max': 168, 'min': 138, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 168, 'minutes': 0, 'name': 'Peak'}]",2017-04-16T18:05:51.000Z,7166242224,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",2151000,2017-04-16T12:56:04.000-04:00,,2017-04-16T12:56:04.000-04:00,3409,https://api.fitbit.com/1/user/-/activities/7166242224.tcx
